epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,0,,,,1.4640085697174072
0,0,,,1.8337221145629883,
0,1,,,0.9555400609970093,
0,2,,,1.2313880920410156,
0,3,,,0.283250093460083,
0,4,,,0.5420172214508057,
0,5,,,0.48765140771865845,
0,6,,,0.5509809255599976,
0,7,,,0.4900446832180023,
0,8,,,0.5039111971855164,
0,9,,,0.44266843795776367,
0,10,,,0.48688268661499023,
0,11,,,0.5857991576194763,
0,12,,,0.4275202453136444,
0,12,,,,0.35366198420524597
0,12,0.2748350501060486,0.6800852417945862,,
1,13,,,1.304075002670288,
1,14,,,0.8736653327941895,
1,15,,,0.9202191829681396,
1,16,,,0.19074933230876923,
1,17,,,0.22924837470054626,
1,18,,,0.3094552755355835,
1,19,,,0.4527919888496399,
1,20,,,0.5138499736785889,
1,21,,,0.6059077382087708,
1,22,,,0.544049859046936,
1,23,,,0.5331653952598572,
1,24,,,0.5864054560661316,
1,25,,,0.419998437166214,
1,25,,,,0.32850381731987
1,25,0.27441948652267456,0.5766012668609619,,
2,26,,,0.6537526845932007,
2,27,,,0.5053719282150269,
2,28,,,0.7008152008056641,
2,29,,,0.16526982188224792,
2,30,,,0.14757990837097168,
2,31,,,0.18544600903987885,
2,32,,,0.20287583768367767,
2,33,,,0.26915422081947327,
2,34,,,0.3269534707069397,
2,35,,,0.2755580246448517,
2,36,,,0.321552574634552,
2,37,,,0.3634764552116394,
2,38,,,0.272271990776062,
2,38,,,,0.22357425093650818
2,38,0.17616508901119232,0.3380938768386841,,
3,39,,,0.5602689385414124,
3,40,,,0.4139435887336731,
3,41,,,0.5681859850883484,
3,42,,,0.1414301097393036,
3,43,,,0.13421183824539185,
3,44,,,0.18585586547851562,
3,45,,,0.2067117542028427,
3,46,,,0.2308422029018402,
3,47,,,0.27435848116874695,
3,48,,,0.23977598547935486,
3,49,,,0.26118025183677673,
3,50,,,0.3604089617729187,
3,51,,,0.2630825936794281,
3,51,,,,0.1950957328081131
3,51,0.1472596377134323,0.2955997586250305,,
4,52,,,0.5532022714614868,
4,53,,,0.3891774117946625,
4,54,,,0.5099698305130005,
4,55,,,0.12598948180675507,
4,56,,,0.14486217498779297,
4,57,,,0.19054558873176575,
4,58,,,0.20192281901836395,
4,59,,,0.21940845251083374,
4,60,,,0.2618834376335144,
4,61,,,0.20503805577754974,
4,62,,,0.23264412581920624,
4,63,,,0.27779024839401245,
4,64,,,0.22436746954917908,
4,64,,,,0.16897538304328918
4,64,0.13273225724697113,0.272350013256073,,
5,65,,,0.4752621650695801,
5,66,,,0.3894752860069275,
5,67,,,0.529862105846405,
5,68,,,0.13493943214416504,
5,69,,,0.11453144252300262,
5,70,,,0.1498945653438568,
5,71,,,0.13495421409606934,
5,72,,,0.1584610939025879,
5,73,,,0.22153815627098083,
5,74,,,0.1884230077266693,
5,75,,,0.20202872157096863,
5,76,,,0.2581567168235779,
5,77,,,0.21591238677501678,
5,77,,,,0.12946158647537231
5,77,0.09500250220298767,0.24428120255470276,,
6,78,,,0.4510810971260071,
6,79,,,0.3447610139846802,
6,80,,,0.5317054390907288,
6,81,,,0.12523464858531952,
6,82,,,0.09704522788524628,
6,83,,,0.13613294064998627,
6,84,,,0.1404131054878235,
6,85,,,0.15830330550670624,
6,86,,,0.21089200675487518,
6,87,,,0.17648166418075562,
6,88,,,0.2030256986618042,
6,89,,,0.2438303679227829,
6,90,,,0.19108697772026062,
6,90,,,,0.1176748052239418
6,90,0.07813294976949692,0.23178252577781677,,
7,91,,,0.40472719073295593,
7,92,,,0.30933770537376404,
7,93,,,0.4557616710662842,
7,94,,,0.11970120668411255,
7,95,,,0.11945232003927231,
7,96,,,0.16028031706809998,
7,97,,,0.15038537979125977,
7,98,,,0.15143147110939026,
7,99,,,0.1997048556804657,
7,100,,,0.1578175127506256,
7,101,,,0.1937926709651947,
7,102,,,0.25842922925949097,
7,103,,,0.20667701959609985,
7,103,,,,0.12578658759593964
7,103,0.08757156133651733,0.22220860421657562,,
8,104,,,0.501097559928894,
8,105,,,0.3487579822540283,
8,106,,,0.46161097288131714,
